iter	Passed	Remaining
0	1	128
1	2	127
2	4	135
3	5	131
4	6	126
5	7	124
6	9	122
7	10	117
8	11	112
9	11	107
10	12	104
11	14	102
12	14	99
13	15	96
14	16	93
15	17	92
16	18	92
17	20	92
18	21	92
19	22	91
20	24	91
21	25	90
22	26	88
23	27	86
24	28	84
25	29	82
26	29	80
27	30	79
28	31	77
29	32	76
30	33	74
31	35	75
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	56
46	49	55
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	80	21
79	81	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	93	8
92	94	7
93	96	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
