iter	Passed	Remaining
0	137	137238
1	139	69600
2	140	46848
3	142	35586
4	145	28953
5	148	24548
6	149	21267
7	151	18791
8	153	16871
9	154	15290
10	155	14025
11	157	12967
12	160	12187
13	162	11440
14	163	10764
15	165	10172
16	166	9636
17	167	9161
18	169	8734
19	170	8343
20	171	8018
21	173	7721
22	175	7476
23	177	7220
24	178	6980
25	180	6747
26	181	6533
27	182	6343
28	184	6162
29	185	5990
30	186	5831
31	187	5683
32	189	5552
33	191	5438
34	192	5318
35	194	5208
36	195	5094
37	196	4984
38	198	4883
39	199	4783
40	200	4695
41	202	4610
42	203	4526
43	206	4486
44	208	4416
45	209	4346
46	210	4276
47	212	4208
48	213	4142
49	214	4080
50	216	4025
51	217	3972
52	219	3928
53	221	3881
54	223	3836
55	224	3788
56	225	3737
57	227	3690
58	228	3643
59	229	3599
60	231	3556
61	232	3517
62	233	3475
63	236	3452
64	237	3415
65	239	3385
66	240	3351
67	241	3314
68	243	3279
69	244	3248
70	245	3217
71	247	3189
72	248	3160
73	250	3135
74	252	3111
75	254	3088
76	255	3062
77	256	3033
78	257	3007
79	259	2982
80	260	2956
81	261	2929
82	262	2896
83	263	2871
84	264	2851
85	266	2830
86	267	2811
87	269	2791
88	270	2768
89	271	2745
90	272	2723
91	274	2704
92	275	2685
93	276	2663
94	277	2644
95	278	2623
96	279	2603
97	281	2591
98	283	2577
99	284	2560
100	285	2542
101	286	2526
102	288	2510
103	289	2494
104	290	2478
105	291	2462
106	293	2445
107	294	2429
108	295	2416
109	297	2404
110	298	2390
111	299	2376
112	301	2363
113	302	2349
114	303	2335
115	304	2321
116	305	2306
117	306	2294
118	308	2280
119	309	2267
120	310	2255
121	311	2241
122	312	2230
123	314	2220
124	316	2213
125	317	2202
126	318	2189
127	319	2178
128	321	2168
129	322	2158
130	323	2147
131	324	2136
132	326	2127
133	327	2117
134	329	2110
135	330	2100
136	331	2090
137	333	2082
138	334	2072
139	335	2063
140	336	2051
141	337	2038
142	338	2029
143	339	2019
144	341	2011
145	342	2005
146	344	1999
147	345	1990
148	347	1982
149	348	1974
150	349	1964
151	350	1955
152	351	1947
153	352	1938
154	354	1930
155	355	1921
156	356	1914
157	358	1909
158	360	1904
159	361	1899
160	362	1888
161	363	1882
162	365	1874
163	366	1866
164	367	1858
165	368	1850
166	369	1843
167	370	1836
168	372	1832
169	374	1826
170	375	1820
171	376	1813
172	377	1805
173	378	1797
174	379	1790
175	380	1782
176	381	1775
177	382	1768
178	384	1761
179	385	1755
180	387	1754
181	389	1749
182	390	1742
183	391	1736
184	392	1730
185	393	1723
186	394	1716
187	396	1710
188	397	1704
189	398	1698
190	399	1691
191	400	1685
192	401	1680
193	403	1675
194	404	1671
195	406	1667
196	407	1662
197	408	1655
198	409	1649
199	410	1643
200	411	1637
201	413	1632
202	414	1626
203	415	1620
204	416	1615
205	418	1611
206	419	1607
207	421	1603
208	422	1598
209	423	1592
210	424	1588
211	425	1582
212	426	1577
213	428	1572
214	429	1566
215	430	1562
216	431	1556
